name,default_code,type,categ_id/name,list_price,standard_price
ADVANCE SX2 FB/EGB 24X0.5L,23352,consu,Lubricants,265,207.41
ADVANCE SX2 FB/EGB 20L,12843,consu,Lubricants,10115,7925.2
ADVANCE SX2 FB/EGB 209L,12844,consu,Lubricants,99845,78249.2
ADVANCE 4T AX5 20W-50 12X1L,23353,consu,Lubricants,500,389.7
ADVANCE 4T AX7 10W-40 12X1L,106422,consu,Lubricants,600,470.0
ADVANCE 4T ULTRA 10W‐40 SP 12X1L,205874,consu,Lubricants,1245,976.99
AIR TOOL OIL S2 A100 20L,12713,consu,Lubricants,12015,9416.3
AIR TOOL OIL S2 A100 209L,12728,consu,Lubricants,121970,95587.1
ALEXIA 40,99684,consu,Lubricants,202750,158896.8
ALEXIA 70,99683,consu,Lubricants,221195,173350.7
ARGINA S3 30 209L,12884,consu,Lubricants,125920,98682.2
ARGINA S3 40 209L,12885,consu,Lubricants,127920,100252.4
ARGINA S4 40 209,23384,consu,Lubricants,129940,101832.6
ARGINA S4 40 BULK,12882,consu,Lubricants,610,479.1
ARGINA S4 X 40 209,102875,consu,Lubricants,127850,100196.1
ARGINA S4 X 40 BULK,107571,consu,Lubricants,640,501.0
ARGINA S5 40 209L,23385,consu,Lubricants,129985,101868.1
ARGINA S5 40 BULK,12883,consu,Lubricants,610,479.2
BATTERY ACID 12X1L,12656,consu,Lubricants,225,177.97
BATTERY WATER 12X1L,12654,consu,Lubricants,185,143.39
CAPRINUS XR 40 209L,12816,consu,Lubricants,121850,95492.2
CORENA S2 P100 20L,12767,consu,Lubricants,28770,22548.8
CORENA S3 R 46 20L,12745,consu,Lubricants,39400,30875.9
CORENA S3 R 68 20L,23290,consu,Lubricants,32805,25709.6
CORENA S4 P 100 20L,12747,consu,Lubricants,61485,48186.2
CORENA S4 R 46 20L,23335,consu,Lubricants,43345,33967.7
CORENA S4 R 68 20L,12674,consu,Lubricants,45645,35770.1
DIALA S4 ZX-I 209L,23357,consu,Lubricants,217840,170720.3
FLUSHING OIL D22 3X5L,12764,consu,Lubricants,2815,2207.1
FLUSHING OIL D22 20L,12660,consu,Lubricants,11020,8637.3
FLUSHING OIL D22 209L,12658,consu,Lubricants,113965,89315.4
FRAGOL GREASE FG-AL 2 18KG,148041,consu,Lubricants,59715,46799.3
FRAGOL 3H WO 68 20L,148043,consu,Lubricants,33215,26029.3
FRAGOL GEAR WCE 320 FG 20L,148044,consu,Lubricants,55285,43326.1
FRAGOL GEAR WCE 220 FG 20L,148042,consu,Lubricants,55545,43530.3
GADINIA S3 40 209L,12888,consu,Lubricants,113345,88827.5
GADUS S2 V100 3 18 KG,23291,consu,Lubricants,30790,24128.2
GADUS S2 V100 3 180KG,23330,consu,Lubricants,271335,212646.4
GADUS S2 V220 00 18KG,23331,consu,Lubricants,26375,20668.2
GADUS S2 V220 1 18KG,12741,consu,Lubricants,29015,22740.9
GADUS S2 V220 2 12X0.4KG,38817,consu,Lubricants,760,595.85
GADUS S2 V220 2 18KG,23292,consu,Lubricants,29235,22911.6
GADUS S2 V220 2 180KG,23324,consu,Lubricants,252365,197777.1
GADUS S2 V220AC 3 18KG,12778,consu,Lubricants,30625,24002.5
GADUS S2 V220AD 2 18KG,12743,consu,Lubricants,33430,26200.8
GADUS S3 V220C 2 12X0.4KG,38874,consu,Lubricants,845,661.76
GADUS S3 V220C 2 18KG,23293,consu,Lubricants,40930,32075.5
GLYSANTIN G48 CONCENTRATE 210L,12861,consu,Lubricants,162215,127127.9
HEAT TRANSFER OIL S2 S 209,23371,consu,Lubricants,105260,82491.8
HEAT TRANSFER OIL S2 S BULK,12750,consu,Lubricants,465,363.1
HELIX HX3 40 SL CF 24X0.5L,156581,consu,Lubricants,250,195.3
HELIX HX3 40 SL CF 12X1L,195884,consu,Lubricants,470,369.95
HELIX HX3 40 SL CF 4X4L,156436,consu,Lubricants,1800,1409.08
HELIX HX5 15W-40 SL CF 24X0.5L,23370,consu,Lubricants,320,247.63
HELIX HX5 15W-40 SL CF 12X1L,12847,consu,Lubricants,590,458.8
HELIX HX5 15W-40 SL CF 4X4L,23364,consu,Lubricants,2280,1772.38
HELIX HX5 15W-40 SL CF 3X5L,12850,consu,Lubricants,2850,2212.9
HELIX HX5 15W-40 SL CF 20L,12849,consu,Lubricants,11085,8607.8
